dl_time,school,subhead,file_name,file_url
,Arlington Medical Institute,,,
,Ashford University,,,
,California State University,,,
,Clemson University,,,
,College of New Jersey,,,
,Cornell College,,,
,Delaware State University,,,
,Dominican College of Blauvelt,,,
,Eastern Michigan University,,,
,First Institute,,,
,Florida State University,,,
,Franklin Pierce University,,,
,Georgetown University,,,
,LaSalle University,,,
,Liberty University,,,
,Lincoln University,,,
,Louisiana State University,,,
,Miami University of Ohio,,,
,Mid-Atlantic Christian University,,,
,Midlands Technical College,,,
,Minnesota State University Moorhead,,,
,Mitsu Sato Hair Academy,,,
,Mount Mercy University,,,
,Mount Saint Mary College,,,
,Northern Illinois University,,,
,Northwest Vista College,,,
,Notre Dame College of Ohio,,,
,Ohio State University (The),,,
,Oklahoma State University,,,
,Oregon State University,,,
,Palo Alto College,,,
,Paul Smith's College of Arts &amp; Sciences,,,
,Plaza Beauty School,,,
,Ramapo College of New Jersey,,,
,Saint Mary's College of California,,,
,Saint Mary's College - Notre Dame,,,
,Saint Philip's College,,,
,Salem International University,,,
,Salina Area Technical College,,,
,San Antonio College,,,
,Schreiner University,,,
,Slippery Rock University,,,
,South Dakota State University,,,
,Sterling College,,,
,Tarleton State University,,,
,University of Alaska,,,
,University of Arkansas,,,
,University of California - Davis,,,
,University of California - Los Angeles,,,
,University of California - San Diego,,,
,University of Delaware,,,
,University of Michigan,,,
,University of Missouri,,,
,University of Nebraska-Kearney,,,
,University of North Dakota,,,
,University of Northern Iowa,,,
,University of Pennsylvania,,,
,University of Texas at Arlington,,,
,University of Utah,,,
,University of Vermont,,,
,University of Virginia,,,
,University of Wisconsin Green Bay,,,
,Virginia Tech,,,
,Wake Forest University,,,
,Wards Corner Beauty Academy,,,
,Washington State University,,,
,Wesley College,,,
,West Virginia University,,,
,West Virginia Wesleyan College,,,
,Yale University,,,
